# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "annotations.gtf" "-o" "results/gene_counts.txt" "-T" "4" "results/aligned_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/aligned_Aligned.sortedByCoord.out.bam
ENSG00000253239	22;22	22026076;22026250	22026121;22026593	+;+	390	0
ENSG00000211637	22;22	22030934;22031163	22031042;22031472	+;+	419	0
ENSG00000254355	22;22	22032745;22032902	22032796;22033194	+;+	345	0
ENSG00000278657	22;22	22036344;22039437	22036494;22040065	+;+	780	0
ENSG00000249333	22;22	22038643;22038798	22038688;22039126	+;+	375	0
ENSG00000211642	22;22	22214794;22214965	22214852;22215270	+;+	365	0
ENSG00000253794	22	22043618	22043942	+	325	0
ENSG00000228161	22	22046430	22046591	+	162	0
ENSG00000253874	22	22058433	22058892	+	460	0
ENSG00000254075	22;22	22061077;22061246	22061124;22061538	+;+	341	0
ENSG00000254161	22;22	22070225;22070394	22070270;22070707	+;+	360	0
ENSG00000253242	22	22075366	22075666	+	301	0
ENSG00000253752	22;22	22079770;22079926	22079815;22080263	+;+	384	0
ENSG00000253823	22;22	22086561;22086716	22086606;22087110	+;+	441	0
ENSG00000275361	22	22087924	22088085	+	162	0
ENSG00000211638	22;22	22098700;22098906	22098806;22099212	+;+	414	0
ENSG00000225741	22;22	22103219;22104425	22104047;22104857	+;+	1262	0
ENSG00000263366	22;22	22114844;22117485	22115245;22118005	-;-	923	0
ENSG00000236118	22;22	22155582;22155792	22155711;22155942	+;+	281	0
ENSG00000233720	22	22157382	22157631	+	250	0
ENSG00000211639	22;22	22162199;22162372	22162250;22162681	+;+	362	0
ENSG00000227710	22	22168289	22168634	+	346	0
ENSG00000224465	22	22170983	22171556	-	574	0
ENSG00000254308	22	22179228	22179477	+	250	0
ENSG00000253637	22	22182582	22182885	+	304	0
ENSG00000236323	22	22185941	22186619	+	679	0
ENSG00000211640	22;22	22195799;22195970	22195844;22196276	+;+	353	0
ENSG00000253126	22;22	22198560;22198715	22198604;22199011	+;+	342	0
ENSG00000211641	22;22	22201663;22201839	22201720;22202161	+;+	381	0
ENSG00000253935	22;22	22219647;22219810	22219689;22220133	+;+	367	0
ENSG00000228050	22	22223187	22224566	-	1380	0
ENSG00000234726	22;22	22228719;22229835	22229325;22230469	-;-	1242	0
ENSG00000279278	22	22264601	22273020	+	8420	0
ENSG00000274422	22	22283928	22287220	-	3293	0
ENSG00000234630	22;22	22293733;22294620	22294081;22294794	+;+	524	0
ENSG00000286129	22;22;22;22;22;22;22;22;22;22;22;22;22;22	22298124;22303224;22303943;22306833;22307106;22307533;22308697;22309736;22310226;22318899;22321351;22322663;22323677;22328894	22298211;22303297;22304114;22307021;22307245;22307591;22308819;22309883;22310401;22319251;22321871;22323030;22323931;22329122	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2895	0
ENSG00000272779	22;22;22;22;22;22;22;22	22303224;22303943;22306833;22307106;22307533;22308697;22309736;22310226	22303297;22304114;22307021;22307285;22307591;22308819;22309883;22310401	+;+;+;+;+;+;+;+	1121	0
ENSG00000211643	22;22	22318727;22318899	22318777;22319226	+;+	379	0
ENSG00000211644	22;22	22322472;22322663	22322553;22322969	+;+	389	0
ENSG00000211645	22;22	22327300;22327507	22327396;22327814	+;+	405	0
ENSG00000225724	22	22339573	22341214	+	1642	0
ENSG00000223350	22;22	22343187;22343407	22343269;22343732	+;+	409	0
ENSG00000232515	22	22347807	22348164	+	358	0
ENSG00000211647	22;22	22352940;22353111	22352985;22353433	+;+	369	0
ENSG00000211648	22;22	22357739;22357956	22357840;22358260	+;+	407	0
ENSG00000237428	22	22366210	22367770	+	1561	0
ENSG00000211649	22;22	22369614;22369783	22369693;22370087	+;+	385	0
ENSG00000232603	22	22370829	22371120	+	292	0
ENSG00000211650	22;22	22375986;22376183	22376059;22376505	+;+	397	0
ENSG00000211651	22;22	22380766;22381041	22380925;22381347	+;+	467	0
ENSG00000211652	22;22	22395018;22395185	22395097;22395489	+;+	385	0
ENSG00000254175	22;22	22397032;22397189	22397076;22397524	+;+	381	0
ENSG00000254073	22	22398849	22398999	+	151	0
ENSG00000253818	22;22	22404207;22404415	22404305;22404721	+;+	406	0
ENSG00000211653	22;22	22409766;22409973	22409862;22410282	+;+	407	0
ENSG00000224144	22	22420326	22421310	+	985	0
ENSG00000253889	22;22	22425821;22425979	22425869;22426314	+;+	385	0
ENSG00000211654	22;22	22427540;22427713	22427590;22428035	+;+	374	0
ENSG00000211655	22;22	22431958;22432159	22432043;22432465	+;+	393	0
ENSG00000230821	22	22446686	22448336	+	1651	0
ENSG00000253631	22;22	22450202;22450347	22450235;22450652	+;+	340	0
ENSG00000226595	22	22465659	22465986	+	328	0
ENSG00000187860	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	30356635;30356635;30357001;30357007;30357007;30357114;30361961;30361961;30361961;30361961;30361961;30365944;30365990;30365990;30365990;30365990;30369432;30369432;30369432;30369432;30369432;30370326;30370326;30370326;30370326;30370326;30371650;30371650;30372075;30372075;30372075;30373597;30373597;30373597;30373692;30373923;30373923;30373923;30375479;30375479;30375486;30376259;30376259;30376259;30376259;30376433;30376433;30376433;30376433	30357132;30357132;30357132;30357132;30357132;30357132;30362114;30362114;30362114;30362114;30362114;30366248;30366248;30366248;30366248;30367096;30369603;30369603;30369603;30369603;30369603;30371727;30370508;30370494;30370950;30370950;30371727;30371727;30372286;30372286;30372286;30373764;30373764;30373764;30374091;30374091;30374091;30374091;30375663;30375663;30375663;30376347;30376347;30376347;30376347;30376827;30378658;30378673;30376829	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6601	0
ENSG00000177989	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	50529710;50530409;50530426;50530426;50530427;50530441;50530480;50530539;50530638;50530688;50530712;50530712;50530712;50530712;50530712;50530712;50530937;50530937;50530937;50530937;50530937;50530937;50530937;50531191;50531191;50531191;50531191;50531191;50531191;50531191;50531191;50531191;50531570;50531570;50531570;50531570;50531570;50531570;50531969;50531969;50531969;50531969;50531969;50531969;50531982;50532477;50532477	50530560;50530560;50530560;50530560;50530560;50530560;50530560;50531058;50531058;50530852;50530852;50530852;50530852;50530852;50530828;50530852;50531058;50531058;50531058;50531058;50531058;50531058;50531058;50531295;50531423;50531295;50531341;50531295;50531295;50531295;50531295;50531822;50531773;50531679;50531773;50531773;50531773;50531702;50532077;50532147;50532216;50532111;50532108;50532184;50532378;50532506;50532498	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2421	0
ENSG00000234965	22;22;22;22;22;22	41909543;41910408;41911216;41911293;41914138;41914138	41910147;41910554;41911349;41911349;41914566;41915074	-;-;-;-;-;-	1823	0
ENSG00000100221	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	38685543;38685543;38687718;38687924;38688935;38688935;38688935;38688935;38689074;38689296;38689296;38689296;38689296;38699801;38699803;38699803;38699803;38699803;38699803;38699803;38700161;38700276;38700800;38700862;38700904;38700966;38700966;38701257;38701257	38688001;38688001;38688001;38688001;38689129;38689129;38689129;38689323;38689129;38689424;38689424;38689424;38689424;38700123;38700123;38700618;38700123;38700618;38699970;38700667;38700618;38700618;38700943;38700940;38700930;38701032;38701030;38701418;38701556	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4327	0
ENSG00000233157	22	43759199	43759910	-	712	0
ENSG00000180150	22	43802544	43802772	+	229	0
ENSG00000130540	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	43824509;43824510;43824510;43827514;43828806;43829060;43829060;43829060;43833640;43833640;43833640;43833640;43838867;43838867;43838867;43838867;43839945;43839945;43839945;43841802;43841802;43862214;43862214;43862214	43826113;43826113;43826113;43827640;43829198;43829198;43829198;43829198;43833734;43833734;43833734;43833734;43838993;43838913;43838993;43838993;43840025;43840025;43840025;43841932;43841932;43862470;43862406;43862513	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2859	0
ENSG00000100341	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	43879678;43879876;43881558;43881558;43884213;43884213;43884213;43886303;43886303;43886303;43887591;43887591;43887591;43889329;43889329;43889799;43891062;43891062;43891688;43891688;43891688	43880885;43880885;43881674;43881674;43884345;43884345;43884345;43886488;43886488;43886488;43887651;43887651;43887651;43889495;43889538;43889864;43891294;43891294;43891995;43892013;43892013	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2540	0
ENSG00000100345	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	36281280;36281292;36281292;36281297;36281297;36284093;36284093;36284093;36284093;36284093;36284162;36284214;36284403;36284403;36284403;36284403;36284403;36284403;36285121;36285121;36285121;36285121;36285121;36285121;36285121;36285658;36285658;36285658;36285658;36285658;36285658;36285658;36285865;36285865;36285865;36285865;36285865;36285865;36285865;36286155;36286718;36286718;36286718;36286718;36288252;36288252;36288252;36288727;36288727;36288727;36289085;36289085;36289085;36291986;36291986;36291986;36293329;36293329;36293329;36293759;36293759;36293759;36294092;36294092;36294092;36294932;36294932;36294932;36295505;36295505;36295505;36295512;36296843;36296843;36296843;36296843;36298919;36298919;36298919;36300127;36300127;36300127;36300851;36300851;36300851;36300910;36301534;36301534;36301534;36301534;36302308;36302568;36302568;36302568;36303995;36303995;36303995;36303995;36305033;36305033;36305033;36305723;36305930;36305930;36305930;36306414;36306414;36306414;36306414;36308695;36308808;36309282;36309282;36309282;36309282;36310906;36311580;36312049;36312049;36312049;36312049;36314145;36314145;36314145;36314145;36314145;36314145;36316513;36316517;36316517;36316517;36316517;36316517;36316517;36317299;36318207;36318207;36318207;36318207;36318207;36318207;36318207;36319540;36319540;36319540;36319540;36319540;36319540;36319540;36319540;36320220;36320220;36320220;36320220;36320220;36320241;36320274;36320798;36320798;36320798;36320798;36320798;36320798;36320798;36320957;36321758;36321758;36321758;36321758;36321758;36321758;36321758;36321758;36322429;36322429;36322429;36322429;36322429;36322429;36322429;36322429;36324287;36325033;36325072;36326568;36326568;36326568;36326568;36326568;36326568;36326568;36326568;36326568;36326568;36327461;36327461;36327461;36327461;36327461;36327461;36327461;36327461;36327461;36327461;36328859;36341370;36341370;36341370;36341370;36341370;36341370;36341370;36341370;36341370;36348904;36348904;36348904;36348904;36348904;36348904;36348904;36348904;36348904;36348928;36364779;36365046;36365046;36370586;36387807;36387807;36387807;36387807;36387807;36387807;36387807	36282785;36282785;36282785;36282785;36282785;36284265;36284265;36284265;36284265;36284265;36284307;36284511;36284511;36284511;36284511;36284511;36284511;36284511;36285329;36285329;36285329;36285329;36285329;36285329;36285329;36285781;36285781;36285781;36285781;36285781;36285781;36285781;36286021;36286044;36285953;36285953;36285953;36285953;36285953;36286551;36288211;36286846;36286846;36286846;36288413;36288413;36288413;36288939;36288939;36288939;36289297;36289297;36289297;36292234;36292234;36292234;36293481;36293481;36293481;36293863;36293863;36293863;36294298;36294298;36294298;36295076;36295076;36295076;36295717;36295717;36295717;36295717;36297323;36297014;36297014;36297014;36299042;36299042;36299042;36300264;36300264;36300264;36301057;36301057;36301057;36301057;36301714;36301665;36301665;36301665;36302676;36302676;36302676;36302676;36304025;36304155;36304155;36304155;36305102;36305102;36305102;36306051;36306051;36306051;36306051;36306607;36306607;36306607;36306607;36309396;36308870;36309460;36309396;36309396;36309396;36312222;36312222;36312222;36312222;36312222;36312222;36314318;36314318;36314318;36314318;36314318;36314318;36316669;36316669;36316669;36316669;36316669;36316669;36316669;36318325;36318325;36318325;36318325;36318325;36318325;36318325;36318325;36319571;36319835;36320363;36319635;36319635;36319635;36319635;36319635;36320363;36320363;36320363;36320896;36320363;36320363;36320363;36320896;36320896;36320896;36320896;36320896;36320896;36320896;36321821;36321821;36321922;36321821;36321821;36321821;36321821;36321821;36321821;36322521;36322521;36322521;36322521;36322521;36322521;36322994;36322521;36324668;36325123;36326035;36326661;36326661;36326661;36326661;36326661;36326661;36326661;36326661;36326661;36326661;36327488;36327488;36327488;36327488;36327488;36327488;36327488;36327488;36327488;36327488;36328952;36341526;36341526;36341526;36341526;36341526;36341526;36341526;36341526;36341526;36349255;36349255;36349255;36349255;36349255;36349255;36349255;36349255;36349255;36349255;36364833;36365111;36365112;36370610;36388001;36388010;36388001;36388001;36388001;36388001;36387967	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	17034	0
ENSG00000233388	22	35501861	35503586	-	1726	0
ENSG00000273044	22	35526932	35527415	+	484	0
ENSG00000100302	22;22;22	35540831;35546801;35551503	35541500;35547080;35553999	+;+;+	3447	0
ENSG00000198125	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	35606764;35606764;35606764;35606764;35607272;35607333;35607375;35610884;35610884;35610884;35610884;35610884;35610884;35610884;35610884;35610884;35610970;35615574;35617077;35617163;35617163;35617163;35617163;35617163;35617163;35617163;35617163;35617362;35617362;35621966;35622478;35622478;35623191;35623191;35637106;35637866	35607443;35607443;35607443;35607443;35607443;35607443;35607443;35611106;35611106;35611106;35611106;35611106;35611106;35611106;35611106;35611106;35611106;35615713;35617329;35617265;35617265;35617265;35617265;35617265;35617265;35617265;35617329;35617586;35617508;35622096;35622524;35622561;35623401;35623354;35637208;35637951	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2136	0
ENSG00000268818	22;22	35626988;35634955	35627659;35635134	-;-	852	0
ENSG00000221963	22;22;22	35648446;35656379;35658615	35648623;35656475;35668404	+;+;+	10065	0
ENSG00000228587	22;22	35685940;35688848	35686014;35689373	+;+	601	0
ENSG00000226336	22	35703803	35704176	+	374	0
ENSG00000128313	22;22;22;22;22	35717872;35720568;35726211;35728723;35729354	35717926;35720654;35727194;35728904;35729483	+;+;+;+;+	1438	0
ENSG00000237406	22	35897270	35898404	-	1135	0
ENSG00000128335	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	36226209;36226210;36227342;36228032;36228195;36231340;36231340;36231340;36231340;36231340;36233153;36233153;36233153;36233153;36233153;36233402;36233402;36233402;36233402;36233402;36234236;36236885;36236927;36236933;36236964;36237061;36239136;36239136;36239441;36239441;36239441;36239441;36239441;36239441;36239441;36239647;36239732	36228280;36228280;36228280;36228280;36228280;36231466;36231466;36231466;36231466;36231466;36233241;36233241;36233241;36233241;36233241;36233455;36233455;36233455;36233455;36233455;36234335;36237363;36237363;36237363;36237360;36237185;36239239;36239227;36239570;36239561;36239582;36239561;36239561;36239527;36239527;36239673;36239954	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3417	0
ENSG00000278420	22	36286847	36286907	-	61	0
ENSG00000237668	22	36421273	36421644	-	372	0
ENSG00000214491	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	30522799;30522810;30522810;30522878;30523282;30523725;30524997;30525350;30525350;30525350;30525611;30525611;30525611;30525611;30525611;30525611;30525826;30525826;30525826;30525826;30525826;30525826;30529087;30529087;30529087;30529087;30529087;30529087;30529289;30529289;30529289;30529289;30529289;30529289;30531903;30531903;30531903;30531903;30532180;30532525;30532525;30532525;30532525;30532525;30532797;30532797;30532797;30532797;30532797;30533996;30533996;30533996;30533996;30533996;30538827;30538827;30538827;30538827;30542156;30542156;30546629	30525109;30525109;30525109;30523651;30525109;30525109;30525109;30525519;30525519;30525519;30525750;30525750;30525750;30525750;30525750;30525750;30525932;30525932;30525932;30525932;30525932;30525932;30529170;30529170;30529170;30529170;30529170;30529170;30529349;30529349;30529349;30529349;30529349;30529349;30531998;30531998;30531998;30531998;30532713;30532713;30532713;30532641;30532713;30532713;30532856;30532856;30532856;30532856;30532856;30534039;30534039;30534004;30534039;30534039;30538877;30538902;30538902;30538902;30542224;30542315;30546741	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3956	0
ENSG00000197077	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	24952716;24952730;25014430;25025633;25025633;25027945;25027945;25032609;25032609;25038760;25038760;25040581;25041313;25049230;25049230;25049230;25049230;25069969;25111842;25170820;25170820;25170820;25170820;25170820;25174240;25174240;25174240;25174240;25174240;25177348;25177348;25177348;25177348;25181699;25181699;25181699;25181699;25181699;25184977;25184977;25184977;25184977;25184977;25190702;25190702;25190702;25190702;25192406;25192406;25192406;25192406	24952772;24952772;25014566;25025784;25025784;25029540;25029540;25032696;25032696;25041525;25041525;25041525;25041525;25049689;25049364;25049364;25049364;25070416;25112462;25170938;25170938;25170938;25170938;25170938;25174489;25177522;25174489;25174489;25174489;25177522;25177522;25177522;25177522;25181823;25181823;25181823;25181823;25181823;25185119;25185119;25186451;25185119;25185119;25190784;25190784;25190784;25190784;25197399;25197448;25194457;25197448	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	16453	0
ENSG00000271181	22	25179309	25179554	-	246	0
ENSG00000100053	22;22;22;22;22;22;22;22;22;22;22	25199858;25199873;25201377;25201381;25202674;25202674;25203763;25203763;25205220;25207047;25207047	25199909;25199909;25201471;25201471;25202792;25202792;25203895;25203895;25205362;25207359;25207267	+;+;+;+;+;+;+;+;+;+;+	855	0
ENSG00000236641	22;22;22;22;22	25212085;25212105;25213303;25213303;25213504	25212840;25212840;25213358;25213826;25213777	+;+;+;+;+	1280	0
ENSG00000244752	22;22;22;22;22;22;22;22;22;22;22;22	25212564;25219639;25221404;25221404;25224918;25224918;25227853;25227853;25229436;25229436;25231604;25231604	25212840;25219666;25221483;25221483;25225036;25225036;25227985;25227985;25229578;25229578;25231869;25231870	+;+;+;+;+;+;+;+;+;+;+;+	1047	0
ENSG00000279298	22	25251523	25252602	-	1080	0
ENSG00000100368	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	36913628;36922036;36922134;36922612;36923244;36923244;36923244;36925987;36925987;36925987;36929402;36929402;36929402;36929639;36929639;36929639;36930375;36930375;36930375;36930655;36930673;36930673;36932765;36932765;36933832;36933832;36935351;36935351;36935630;36935630;36936549;36936549;36937377;36937377	36913677;36922283;36922283;36922730;36923367;36923367;36923367;36926177;36926177;36926177;36929559;36929559;36929559;36929807;36929807;36929807;36930510;36930510;36930510;36930830;36930744;36930830;36932904;36932904;36933994;36933994;36935441;36935441;36935687;36935687;36936652;36936652;36938611;36940439	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4990	0
ENSG00000100077	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	25564675;25565107;25604377;25604377;25644592;25661576;25661576;25663630;25663630;25667739;25667739;25672296;25672296;25674437;25674437;25678816;25678816;25684519;25685170;25687537;25690189;25695107;25703510;25704109;25709898;25711068;25714408;25718245;25721284;25722289	25565153;25565153;25604453;25604453;25644665;25661677;25661677;25663704;25663704;25667800;25667800;25672347;25672347;25674528;25674528;25678915;25678915;25684568;25685248;25687667;25690283;25695214;25703576;25704209;25709964;25711163;25714570;25718381;25721397;25729294	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9327	0
ENSG00000100206	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	38518948;38518949;38521608;38521608;38537592;38537592;38538295;38538295;38538295;38538539;38538539;38538539;38539321;38549498;38549925;38552666;38552666;38552666;38552666;38552671;38555357;38555357;38555357;38555357;38555357;38562287;38562287;38562287;38562287;38562287;38566590;38566590;38566590;38566590;38566590;38567583;38567583;38567583;38567583;38567583;38568206;38568206;38568206;38568206;38568206;38569284;38570043;38570043;38570043;38570054	38520089;38520089;38521724;38521724;38537652;38537652;38538409;38538409;38538409;38538612;38538612;38538612;38539412;38549997;38549997;38552707;38552707;38552707;38552707;38552707;38555409;38555409;38555409;38555409;38555409;38562369;38562369;38562369;38562369;38562369;38566736;38566736;38566736;38566736;38566736;38567627;38567627;38567627;38567627;38567627;38568409;38568289;38568289;38568409;38568289;38569390;38570204;38570184;38570183;38570131	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2944	0
ENSG00000073169	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	50201011;50206317;50206442;50208488;50208536;50210181;50210181;50210631;50210631;50215717;50215717;50216691;50216691;50216972;50216972;50217205;50217205	50201590;50206520;50206520;50208716;50208716;50210311;50210311;50210911;50210911;50215867;50215867;50216876;50216876;50217128;50217128;50217616;50217616	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2331	0
ENSG00000159307	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	43197280;43207534;43208072;43210043;43210922;43212425;43214090;43218255;43220450;43221173;43222638;43223097;43227374;43229072;43231753;43231756;43237576;43238838;43238838;43255488;43255488;43258219;43258219;43258219;43262720;43262720;43262720;43270132;43270137;43272424;43272509;43291046;43291046;43316837;43316958;43318223;43319937;43319937;43319937;43319937;43339104;43339104;43343174;43343174	43204149;43207613;43208224;43210240;43211083;43212592;43214251;43218458;43220587;43221289;43222742;43223216;43227496;43229188;43231875;43231875;43238954;43238954;43238954;43255577;43255577;43258335;43258335;43258335;43262845;43262799;43262845;43270589;43270589;43272514;43272539;43291180;43291180;43317110;43317110;43318349;43320065;43320065;43320065;43320065;43339235;43339235;43343323;43343372	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	12122	0
ENSG00000244486	22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22	20424584;20424815;20426087;20427398;20427398;20427398;20429225;20429225;20429225;20429536;20429536;20429536;20429730;20429730;20429730;20430429;20430429;20430690;20430690;20431018;20431018;20431745;20431745;20431930;20431930;20437582;20437582	20426282;20426282;20426282;20427550;20427550;20427550;20429340;20429355;20429340;20429653;20429653;20429653;20429926;20429833;20429833;20430557;20430557;20430908;20430908;20431537;20431537;20431846;20431846;20431988;20431988;20437826;20437825	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3572	0
ENSG00000130538	22	15528192	15529139	+	948	0
